text,sentiment
 Not a prob hun,positive
 hey mia!  totally adore your music.  when will your cd be out?,positive
"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive
 =O you need to ask him something? Lmao I love him too,positive
 Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive
Candle wax is very enjoyable.,positive
" She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive
 fine! Going to do my big walk today 20 or so miles,positive
"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive
  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive
Few Bevvies 2day in twn..great on a day off!!,positive
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive
 good morning,positive
 its the best show EVER!,positive
who watched X-men origins: wolverine? i totally loved it! haha,positive
 I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive
happy 1 year! <3,positive
"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive
 nite nite bday girl  have fun at concert,positive
happy mother`s day to all moms out there...,positive
im thinking that im going to have fun tonight....and maybe some changes are coming,positive
" Haha I know, I cant handle the fame!  and thank you!",positive
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive
 We never miss ICarly - my son has a huge crush on Miranda,positive
Feeling smooth like chrome,positive
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive
happy mother`s day to all the mothers in the world.,positive
"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive
 http://twitpic.com/4jaz5 - Cool... luv it,positive
  that`s why I need to be there...To represent the Blackberries,positive
" yeah I was thinking about that ,ahaha",positive
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive
"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive
FTSK and Mercy Mercedes were amazing tonight.. as always,positive
  hope he is ok!,positive
can`t school just be done already? it hurts too much... seeing him every day,positive
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive
HAPPY MOTHERS DAY.!,positive
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive
  Thanks,positive
Getting ready for week  Its too nice today to be stuck inside working!,positive
Happy Mothers Day people. i love my mom a lot still,positive
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive
tonight in party w/ my girls (minus vita),positive
" I saw the play of it here, it was amazing",positive
 _ i am glad to break my twitter virginity with you two.,positive
" I know   It was worth a shot, though!",positive
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",positive
DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive
" doing pretty well, up and wide awake",positive
"My frist post... Off to find a new car for my parents, exciting!",positive
 oh nice going!,positive
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive
 i agree with you!,positive
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",positive
_2nd aww thanks!,positive
Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,positive
aww  you loooove me,positive
awesome lucky you,positive
" haha im jewish, i love that one",positive
Cant wait to see my boy tomorrow,positive
Omg Wango Tango was **** AWSOME! I love my baby for taking me,positive
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",positive
_30439 I really wish I could go!,positive
  This has made my night!!  Way too funny!!,positive
Woo CAVS.  Happy Mother`s Day!,positive
 Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,positive
 Have a good one,positive
" yep infact she is popular, miss india 99, talented film actress .... and lot more",positive
Daniel has won DSDS. His voice is great.,positive
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,positive
I sure do hope it becomes 4:20 this afternoon ...,positive
 it means that you are now FAMOUS. Congrats!,positive
"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",positive
tamlyn wishes she was as cool as my sock draw,positive
"Yes, I love tea. If that makes me typically English then so be it",positive
 a mouth for sure,positive
 pancakes!! with lemon and sugar thanks!,positive
" Yay, three followers! Good to know more than one person in this big wide world likes fishies.",positive
Goodmorning,positive
" I love mine, too . happy mother???s day to your mom , John Taylor  . much love to you, too .",positive
http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,positive
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,positive
"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",positive
Morning tweeple,positive
 Now you only have 2 hours to sleep...  - Rest if you need it.,positive
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,positive
 lol. just don`t ever forget me,positive
   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,positive
In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,positive
 you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,positive
cooking with my dad  having lots of fun in the kitchen together,positive
Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,positive
"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",positive
Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,positive
"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",positive
 FIL 461 with cool people like me,positive
Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,positive
Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,positive
 congratulations ! you guys finish a month early than we do. booo,positive
workin a long day today... hopefully i can make some good tips,positive
 Thanks for the support,positive
"had a good day driving up mountains, visiting katie, eating chips & fudge and stocking up on lovely smelling soaps",positive
Nyappy mother`s day to your mom`s.,positive
"_Libertine um, glad you enjoyed it...",positive
 sounds like you all had a great night . i`m glad it was successful,positive
 Thanks for sharing that,positive
 you should say mlia instead of fml  i hope you find it soon,positive
"Garden going well, almost all the corn and peas are up, no onions or beets up yet though.",positive
Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!,positive
 WE Quite Like Worthing its a relaxing place with nice coffee shops and fresh air.. and not too many Oiks,positive
today was a lovely day! I had fun with  and  this evening!,positive
 it was amazing,positive
 I feel for you  I hope it`s a smooth flight. Be safe! Mucho amor from Boston!,positive
 sweet dreams,positive
 haha thanks  its for history and its on how the invention of television has influence america lol,positive
" Like your pics, Lucky Girl, again",positive
Feeling loved!  My Mom got me a Nikon Cool Pix for my birthday!!!!,positive
And the Sun is shinning.........at last,positive
_a_michael Hey! thanks for another great day! I`m going to sleep now! I`ll chat with you tomorrow!  Sweet dreams!,positive
" http://twitpic.com/4v0vr - cool! you and your mother have awesome hair styles,! Wish her a happy mother`s day!",positive
happy mother`s day mothers.,positive
just came back from karaoke & eating dinner with emily. it was sooooo much fun,positive
 Discrimination is not a bad thing. I`ve learned to say no. My children would say I mastered that years ago,positive
Just got back from working out. I`m feeling pretty good. work at 4:30,positive
" So!!! Why should that matter? I bet you would be GREAT at it! I do!!! It`s what you love, right? Why not go for it!",positive
DH is just about finished making his giant Trio candy bar. Thank the heavens. His work mates are in for a treat tomorrow!,positive
I love when ryans a housewife. Makes me smile.,positive
 .. .great.. you can buy me lunch when i get my 10-15% pay cut next month..,positive
"finally gone to the beach, yeaaaah!",positive
_ranjan Did I ever mention what a nice and awesome dude you are?,positive
 Hello Gorgeous GIRL! Nice new pic!  HOw are you today,positive
Ok that **** duet was hysterical LOL,positive
" either way, you always tend to make my #followfriday list, sweetie - you do rock that much",positive
"watched 100th episode of numb3rs. loved how they did a throwback to the first episode, using the sprinkler theory",positive
"_Ichigo She tried to carry on aswell, bless, I suppose maybe that`s why kids shouldn`t be in it?",positive
"booziest weekend in a long time, good fun though!",positive
 Ok then have a good day,positive
says Happy Mother`s Day to all Moms out there  http://plurk.com/p/stkr2,positive
_michele thanks for that...am now following them...love good causes,positive
philosophy final today! thank you  it`s 3 days now!!!!,positive
" lol i know but it was just so funny, ahaha",positive
" lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it",positive
_kap But I think it`s cute.  Do this every night okay?,positive
Is happy...Skool just let out..! Today was my last day..! Yippee! R.I.P Jackson Tyler Morris..! Always Loved And Never Forgotten..!,positive
 nice one !,positive
Gotta get creative with these mothers day gifts. I`m gonna win them over with my love!!,positive
" aah. well, have a few friends over there. Just wondering if all`s great and weather`s been good...",positive
_xo they were so pretty and took like an hour to do  CAN I DO URSSSSS!,positive
 Already got my ticket; thanks for making sure though!,positive
Thanks to all my new followers!,positive
"busy working on a new kit... and a couple interviews done...Yea! The weekend! Pray for my Uncle, still young and had a massive stroke!!",positive
Good Morning! - Court - Crossfit - Bible Study - Someone very special`s house  http://tinyurl.com/cjs668,positive
 Have a great time in London,positive
  Thanks for the greeting,positive
 http://twitpic.com/4wb52 - Such a pretty baby!,positive
jungle book 2 is sooooo cute.. i have nothing to eat or drink,positive
" ah, ok  thank youuuuuu!",positive
no phone call yet.. 20 minutes until I pluck up the courage. I WISH MY PHONE WOULD RING,positive
 SherriEShepherd gave the link for  http://www.brentozar.com/twitter. He gives Twitter tips. Hope this helps,positive
 I loved him and he was in a mini,positive
  Yeah I`m okay been icing and ace bandage and sitting on my **** on twitter... LOL Thanks,positive
 you`re so gorgeous!!,positive
I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work,positive
 rofl uh huh,positive
 This was funny! I have 7.,positive
 good luck!! How exciting,positive
Working up to my vacation to Thailand. Getting more excited every day,positive
"Finally a chance to show genuine love, not dependent selfish love, I hope I can do it. My heart goes out to you and I`m sorry 4 ur pain.",positive
 the exact one i was thinking of  the bestttt.,positive
"Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels",positive
pacquiao fight was fun at home wif fam and melissa sat.    today was a mission to ikea. srsly 4 different freeways to ge to burbank.,positive
 How much longer is the NKOTB Block Party? Love it! I need to go to bed so just wondering what time it`s over..LOL..thanks!,positive
Cultural tour 102 by loiusa`s family: kangaroo sight-seeing in cemetary. Lovely,positive
"Oh, and yippee for Lyn-Z Way who gets to celebrate Mother`s Day for the first time as a mother.",positive
"am chillaxin after a busy BankHoliday, Hope everbody had a gd wkend! Holiday in 12 days!!!  ****",positive
Havin a much better day today!! Finished the last Twilight book yesterday. Classes start next week!      Get at me yall!!,positive
 NEW motorcycle and you POPPED a cable already? wow-you ride HARD!,positive
 Thanks! Welcome back!,positive
 Thanks Amy!  That video is so awesome!  Did you see TMH?  He`s amazing in that too!! Bouncy Bouncy Bouncy!!!,positive
 LMAO...Ha! No I just simply wanted to go to NY!,positive
 hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that,positive
Jon made one of the greatest dinners ever: roast pork tenderloin on a bed of wild rice on a bed of mixed greens & yummy sauce. No wine,positive
Shower. Class. More class. Taking care of my lady-friend. Writing like there`s no tomorrow.,positive
Rockstar photographer shoot went great tonight. A little different than the usual stuff - very nice.,positive
 great pics! You should try to start selling your race photos to runners,positive
"Goodmorning twitter, oh my gosh, i woke up soooo nice, lol ... oh hai thar twitterverse. Happy #mothersday everybody  (especially mine)",positive
"_dulay i swear it took me 2 hours to get from bel air to alabang.  but yes, i LOVED reminiscing about our HK trip with you & ",positive
The World is just amazing!,positive
 awww hes too cute!!wish i could`ve gone,positive
just had a great talk with grace about how awesome God is and how he works...that somehow started with how remote controls work,positive
"HAPPY MOTHER`S DAY to my Mom, and every Mom everywhere.  Off for a stroll at the Beaches later--hopefully...",positive
_KittyKat hello new follower  haha!! how are ya?,positive
 haha best thing about office birthdays hey,positive
"You better come here by the time I count to 10 or else. 1, 2, 3,  BAM!!!!!",positive
"_3 U know - kids do what we DO - not what we SAY ... well, don`t we all, really  ....",positive
"  Hi, Thx for following  I teach some Chinese lessons on youtube, pls feel free to have a look www.youtube.com/ChineseLearn",positive
"  Yes, you should go see Star Trek!  It`s sooooo much fun!",positive
 very relaxing thank you. Hope you get to put your feet up tomorrow and enjoy the day,positive
 yessir that is 100% right,positive
Writing my Music Lit final paper on Mozart`s Eine kleine nashtmusik. Mom is giving me a hand...and I`m actually having a GREAT time,positive
 aww thanx andy,positive
Some goodies bagged at the car boot including some very cute cross stitch birds for my craft room! The man selling was a sweetie,positive
has just finished ironing his clothes for #Church. Gonna walk the dog now then grab a shower/shave and be off  #jottonia looks good too,positive
 COOOOOOOOOL... DOOOOOOOOOWN... Patience... Is... Virtue...,positive
The usual. Two family parties today. Happy Birthday Lily!  http://twitpic.com/4w472,positive
GOODNIGHT MAGIC AND PRETTY WORLD,positive
Good morning  ready to start this week.,positive
" I`ve read good things bout it. Just not feelin it tonight. Proly finish it tomorrow, after Star Trek",positive
So glad I`m finally done with finals!,positive
 I miss u guys too  I prob won`t b bk til august sumtime... But if I come bk anytime b4 then ill 4 sure let u kno!,positive
Just got confirmed that it???s pizza-time with some ex co-workers on friday...looking forward to it,positive
can`t wait to november for Jobros concert ! In examination,positive
i jus love doin night shifts...will be done in an hour,positive
" You know, your updates are really amusing.  How was the prop auction?How much did that baseship bed go for?",positive
Loves the fact that there`s only 5 days of school left,positive
 Oh no!! I hope it`s not bad,positive
 awesome..am headin there that nite after my grad dinner  c u then boi! hehe,positive
" Aww, congrats to the family. ;) Send me piccies in the email!",positive
"Uber Bored ATM, after Out of the Blue, will have shower, then watch house or numb3rs (vid) then CSI + CSI NY + Bones Double . .. . YAY!",positive
okay okay sleep for realz now! Goodnight!  ::waves to followers::,positive
"__buckley Good for you mate, sadly I couldnt get pissed tonight **** driving bad times",positive
 very very cute  and fun to watch.,positive
"Great weekend, even though my site is not moved. Plenty other things to do and learn. Keeping the faith and looking to the future",positive
" thats what doting husbands are for LOL!!  I hope that once my braces go on, I can eat normally again",positive
Good Morning Twits!  Let`s makes today x100 better than the one before! Start runnin,positive
 Thanks man.  That sorted it. I only ever remember 222.222,positive
_Craig_G Hope your enjoying the money..it`s looking real good to me right now,positive
"This is my favourite shirt, because its true.  <3 grumpy.    a) cute  b) huggable  c) life of the party  (d)... http://tinyurl.com/q7eax7",positive
"and thanks,  , fr. yr congratulatory gweetin`",positive
Star trek was good times.,positive
Invisible car helps to boost recycling. Honest   http://twurl.nl/fdgmyo,positive
"HA. Totally posting an update at 2am.Its lightning outside, pretty.",positive
 Do a tour in the Philippines sometime.  A lot of fans here would really love that!,positive
 nice clutch,positive
Happy Mother`s Day to all the mommies,positive
Enjoying Mother`s Day,positive
Wishing all the mommies out there a very happy day!!!,positive
 ahaha its stuck in my head; thanxx,positive
Happy Star Wars Day ...  'May the 4th be with you'.... read http://tinyurl.com/axsujx for more ;),positive
I hope everyone had a great weekend! I will be here on and off today as I have 2 important meetings today,positive
 http://twitpic.com/4qpzx - i love you guys  you`re the best,positive
"_babe woo! im getting mine on monday,cant wait  x",positive
 awww she`s laavly ;) I had to come in  but I`ve got a stunning wee tan (l) ;) yourself?,positive
 well if i use all my tweets will be the push to make me go to the shop. and by the time im back it will be over hopefully,positive
is getting ready for bed. Happy Mother`s Day to all the mothers out there!,positive
 (blinks fast) its better now ... Lol thanks :-*,positive
" (cont) a bastardized version of French? It`s fun, believe me!",positive
" alas, I am moving   (like where i`m moving too, but the actual moving, ugh) wish I could go too!",positive
today Jon Doe plays at the Moho. ia m excited  it???s gonna be funny.. but before i have to carry all the equipment and do the backline,positive
 congradts on ur show  Even tho i wasnt there lol,positive
damjust finished watching Prison Break: the final break...omg i dont think i`ve cried so hard for a show..Finally understand the finale,positive
 good luck.. Finally your long time will of panvel tweetup finally coming true..,positive
"Heading off to Hollywood Studios today  Manta and Kraken were both awesome yesterday, feeling like doing a few more rides!!",positive
 Welcome,positive
" Ha! Thanks Bryan! And don`t remind me about the state budget issues.  Actually, Steve only has 6 staffers in 3 offices.",positive
" Thanks, none close to me.",positive
"watered the tomato plants, pepper plants and lettuce, feeling all homely! off out with Freddie for a fun-packed day",positive
 I sorry,positive
" if so, the TMobile G1 is the Hummer H1. I wish I had the battery life of an iPhone!",positive
nite nite twitts i wish u all a happy sunday i already have my major gift my my 2kids-my bro-n @_agressiva23 n 1 other gift on d way  tyg,positive
Omg. Its 1:47 am and Kim Possible is on Disney Channel right now. I am glued to the screen,positive
 at first i thought bar life meant you were partying nonstop to catch up for the last 2 years...lol shoulda known better,positive
 someone came in when I was sleeping off my national passtime and turned me human,positive
 I see you didn`t shave your head. But I *LOVE* the cut.  I`m glad you didn`t shave it. Your hair`s too pretty!,positive
" I am twittering, LIKE A BOSS. Thanks Savvv",positive
 my sleep pattern is screwed i need to try and stay up 2 midnight so i can get some decent sleep coz i havent slept,positive
may the fourth be with you! happy star wars day,positive
Always thinking about to look for a good place to appericiate everyone who supports me on every site I joined,positive
"can`t believe I just drove all the way back to school...whatever HAPPY MOTHER`S DAY: Mommy, Precious, Candis and Granny",positive
i hope it doesnt rain tonight tomorrow my fam. comes to visit swimming pool and carne asada  if it rains the pool is going to be dirty,positive
 That`s me on a good day,positive
 I created my account just to get a chance to chat with you (: I ADMIRE YOU! you`re amazing! you inspire me to write  <3,positive
Think I`ll go enjoy the sun`s rays again...I LOVE being off work,positive
" hahaha, I was busy, now I see what I replied to you! Yes that is true",positive
 thank you cici  right back at ya!,positive
 Thank you  x,positive
 I think we have it pretty much figured out.  added a box in the Helsinki group where you can see the tweets,positive
 http://twitpic.com/4vdc3 - Lexus has the Twitpic! Happy mother`s day to you Lexus.  I hopw it`s a nice one for you.,positive
_uts bass love,positive
omg J.O.N.A.S. is my new fave show <3 one guess as to why hahahha,positive
 Yeah it is. Thanks,positive
 Congrats on the knottie man!,positive
 there coming this year ^-^  wiL said it himself  but yes now would be good.,positive
 awww  I`ll let you off - but you`d better be there for my next 30th! XD,positive
i think i just good stood up...,positive
hook up with Rian van Staden on Twitter. He is a (much) better cook and may have some more concrete suggestions,positive
" Nako! Umuulan pa naman!  Anyway, enjoy the bike rides!",positive
has just discovered a great site!,positive
 Oohh Yaay like it !  ?    Love ya,positive
_Lhoste Thanks you so much for following me on Twitter; I hope you find it as exciting as I do! Looking forward to your tweets!,positive
"Happy Mother`s Day to all the mommies out there, be you woman or man as long as you`re `momma` to someone this is your day!",positive
 Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,positive
 That was nice. I Just ordered my mom her gift from me and my sister.   Something different and unexpected.,positive
Don`t follow your dreams; chase them.- Richard Dumb (who I think is very smart,positive
 Up is out?  I didn`t get the memo   It looks amazing.,positive
 yeah twitter is a lot of fun babe... especially when you`ve got ppl to talk to! lol & that sounds Goooooood lol,positive
tonight was hilariouss  i loveeee everyone that was theree,positive
 thank YOU!! You guys did awesome things for my blog tonight  so grateful!!,positive
@_TWEE haha thanks to you that`s my new word for the week! ****,positive
Happy Mom`s day to your moms !,positive
_Guy Would luv to hear music too but i???m out of batteries - the tv plays besides but i think this is some kind of vampire movie,positive
"Just wanted to say, positivity is doin me good! Change it up! Won`t regret it... Forsure..",positive
 I had mint ice-cream for dessert tonight. Love the stuff!,positive
watching snl with my ucsd girls and laughing about twitter/blackberry jokes  thought i`d tweet that.,positive
 i think both ?s related to size depend on structures and system: hard to relay in tweet but worth blogging..good questions this am,positive
Is having awesome fruits and vegetable juice at the opening of Lam`s noodles at 8  http://tinyurl.com/r65c68,positive
Packing up and leaving inlaws house heading home sweet home... Had a nice weekend and back to work in a few hours,positive
HAPPY MOMMA`s DAY ALL. HONOR YOUR MOMs  sign up for #maternalhealth  here`s for all mothers and luvin kids out there:  http://bit.ly/Bpekk,positive
y do i only have 2 people following me  people follow me please x,positive
Aw. Toy Story 3 is coming out NEXT year.,positive
goooodnight everyone!  and Happy Mothers Day to all the mothers out there.,positive
My whole immediate will be in the same city until some point tomorrow afternoon. This is monumental,positive
Good days with good friends make me not regret living,positive
OMG I would sooooo make dis show number one n da ratings,positive
 Yes...met Jon last yr at an interesting 'Questionning Agile' Agile 2008 session.  Don`t see him on this yr`s schedule.,positive
 aaawww  no worries fresh start to work on growing it out again,positive
Just spent the last two hours playing L4D with babe  Had HELLA fun. I love him <3,positive
 nice to have you back,positive
" Enjoy the coffee. We miss you, petite puce (adica Puricel in franceza)",positive
 my little felted thing looks like an incestuous by- product of two of your lovelies,positive
 thanks  lyxxx,positive
Happy Mothers Day!,positive
 Happy May Day and Star Wars Day,positive
happy mother`s day!,positive
 Happy birthday!,positive
thanks !!my real name is nadia,positive
msn-ing. no school  shouldn`t there be more bank holidays? x,positive
"CC???s video for Long Gone premiers today on yahoo, dont miss it: http://new.music.yahoo.com/videos/premieres/ AWESOME video and version",positive
" I know, i know...  -hugs-",positive
watching W. with jas. i love my brother he`s my best friend,positive
" As opposed to twitter, where all we can do is talk to people.  SL is fun. I already have way too many ways to distract myself.",positive
 Yeah! Thanks! I`ll be back in soon to see what ya got!,positive
Another HD - my lecturer was gob smacked by how good our presentation was,positive
  awesome! All deserved I`m sure. Miss the Crabs games,positive
" When balancing a chair on my chin in the sixth form common room got nothing but sneers, I hung those balls up for good",positive
"@ Little_Ren is lovely lovely, and so niceee",positive
Where are all you Motivated/Determined/wannabe sexy successful young professionals!??! I might really have to join a BNI if there is no1!,positive
 lmao yeaa iight n u shuld put tha c.b flick up w. **** on ur head .. juss a joke,positive
 im sure jont wont mind sharing,positive
 boooo!!! I bet it was a nice wallet too,positive
 thanks  scared of dentists.. looks like I am going to have to get over it and go,positive
OMJ! The 3rd episode of Jonas is too great! They are so funny. I wish I was the Pizza Girll. Lol <3,positive
 it makes perfect sense. I guess i am very down to earth. Thanks for your reply,positive
"The sun is shining brightly and the day has just begun! What`s in store? Wandering around les calanques maybe? Vin, definitely!",positive
" AM`s good for us GMT-ish people, I think.  Looking forward to it and hope you`re batteries & laptop will be recharged soon.",positive
 I can remember those Evidence Based Management lectures...definitely the best of EBM,positive
" Fab, eh?  Feel free to come along for some pre-ep 4 chat and drinks over at Luigi`s - http://www.luigis.org.uk tomorrow!",positive
 I LLLOOOVVVEEE ICARLY,positive
" - Wow, I didn`t realise you were Hami. lol. Thanks for all the comments on my blog, dude",positive
Glad to see the sun out in Dublin after a great week in London. Back to work,positive
had an awsome salad! I recommend getting the Spicey buffalo chicken salad!,positive
_Luck13 they are SO cute,positive
" yes super lakas ng ulan. buti nalang i have a red bandana, body ko lang ang wet look  hahah!",positive
"Watched GossiP.Girl. Dan`s so funny, haha.",positive
  hope your day gets better soon!!,positive
 Thanks for the shoutout,positive
"aww, jon ryan bob and greta in one picture? how adorable  and it brightens my morning, ty jon walker",positive
 maybe one day I can be on your favorite producers list  lol,positive
 I`d love to!!,positive
what a beautiful morning! nice to be out,positive
_ray Bright Eyes=Contentment,positive
" http://twitpic.com/4vuuy - thats the most colorful thing ive seen all day,wow.",positive
" I just started watching 30 Rock too, borrowed seasons 1 and 2 from my dad   so good.",positive
 i like OGBERRY,positive
" You are totally welcome to come hang out on my wiki  Do it, do it!",positive
 Hey im a fan from New Zealand. Loving the show even tho we are soooo behind in the episodes! haha. Keep up the good work,positive
 Nice! You should submit that to failblog.org,positive
has two tickets to Amadou and Miriam for Tue. June 2 that I can`t use  $25 each to anyone who wants `em. That`s face value. Should be good,positive
is going to watch the two davids. yey,positive
 hell yeah! Belgian beer is the bomb!!  :p,positive
" hahahaha. im listening to my iTunes library, a bit of Sonia Dada atm,  ITs good",positive
"  great pic,have to upload my pix tomo,I`ve no laptop tonight.",positive
 You win ... SIGH Rakeem,positive
live long and prosper,positive
" - Bless you as well sweetie, and i hope you have a wonderful weekend",positive
ShoesShoesShoes.YayYayYay.lol.IWouldPostATwitPic.ButIdntKnoHow2,positive
I`m SO thinking about skippin out to NY in the morning. . . but all of my plans were for tonight  well . . . most of them anyway.,positive
"Enjoying a beautiful day off by hanging around the house. Pam is making a cake, but she won`t give me any",positive
Happy Mothers day to all mums,positive
" Heavens, not good  I can empathise. Fingers crossed it doesn`t come to anything and you can sleep easy. Wishing for the best...",positive
"Going to the Star Trek premier tomorrow night, uber stoked. I don`t care if I`m a nerd, Star Trek is amazecore!!",positive
 Thanks G! My actual birthday is on Tuesday and I will be 24.,positive
